step,distRaced,distFromStart,section,speedX,base_target_speed,proposed_target_speed,target_adjustment,target_speed,rl_target_active,safety_intervention,policy_inference,action_reused,adaptive_inference_urgent,trackPos,angle,damage,curLapTime,lastLapTime,best_lap_time,steer,residual,accel,brake,gear,reward,done_reason
64,0.363281,3598.81,normal,10.5008,136.0,67.937289,-68.062711,136.0,1,0,1,0,0,0.332932,0.008897,0.0,0.32,0.0,,0.0,-0.962099,1.0,0.0,1,0.046891,
65,0.424316,3598.87,normal,11.3515,136.0,67.960132,-68.039868,136.0,1,0,1,0,0,0.332842,0.008897,0.0,0.34,0.0,,0.0,-0.961805,1.0,0.0,1,0.051779,
66,0.48999,3598.94,normal,12.2006,136.0,67.985266,-68.014734,136.0,1,0,1,0,0,0.332744,0.008896,0.0,0.36,0.0,,0.0,-0.96148,1.0,0.0,1,0.056423,
67,0.560303,3599.01,normal,13.0488,136.0,68.012262,-67.987738,136.0,1,0,1,0,0,0.33264,0.008896,0.0,0.38,0.0,,0.0,-0.961132,1.0,0.0,1,0.061069,
68,0.635498,3599.08,normal,13.8992,136.0,68.040865,-67.959135,136.0,1,0,1,0,0,0.332529,0.008895,0.0,0.4,0.0,,0.0,-0.960763,1.0,0.0,1,0.065957,
69,0.715332,3599.16,normal,14.7522,136.0,68.065504,-67.934496,136.0,1,0,1,0,0,0.33241,0.008894,0.0,0.42,0.0,,0.0,-0.960445,1.0,0.0,1,0.070603,
70,0.799805,3599.25,normal,15.6065,136.0,68.089853,-67.910147,136.0,1,0,1,0,0,0.332285,0.008893,0.0,0.44,0.0,,0.0,-0.960131,1.0,0.0,1,0.075248,
71,0.88916,3599.34,normal,16.4608,136.0,68.11531,-67.88469,136.0,1,0,1,0,0,0.332153,0.008893,0.0,0.46,0.0,,0.0,-0.959802,1.0,0.0,1,0.080136,
72,0.983154,3599.43,normal,17.3146,136.0,68.144435,-67.855565,136.0,1,0,1,0,0,0.332013,0.008892,0.0,0.48,0.0,,0.0,-0.959427,1.0,0.0,1,0.084782,
73,1.09204,3599.54,normal,18.2531,136.0,68.178997,-67.821003,136.0,1,0,1,0,0,0.331851,0.008891,0.0,0.502,0.0,,0.0,-0.958981,1.0,0.0,1,0.099681,
74,1.19604,3599.64,normal,19.1057,136.0,68.212843,-67.787157,136.0,1,0,1,0,0,0.331697,0.00889,0.0,0.522,0.0,,0.0,-0.958544,1.0,0.0,1,0.094804,
75,1.30493,3599.75,normal,19.9582,136.0,68.260178,-67.739822,136.0,1,0,1,0,0,0.331535,0.008889,0.0,0.542,0.0,,0.0,-0.957933,1.0,0.0,1,0.099702,
76,1.41846,3599.87,normal,20.8118,136.0,68.434679,-67.565321,136.0,1,0,1,0,0,0.331366,0.008888,0.0,0.562,0.0,,0.0,-0.955682,1.0,0.0,1,0.104354,
77,1.53662,3599.98,normal,21.6697,136.0,68.898333,-67.101667,136.0,1,0,1,0,0,0.331191,0.008887,0.0,0.582,0.0,,0.0,-0.949699,1.0,0.0,1,0.109027,
78,1.65967,3600.11,normal,22.5372,136.0,70.059797,-65.940203,136.0,1,0,1,0,0,0.331008,0.008886,0.0,0.602,0.0,,0.0,-0.934712,1.0,0.0,1,0.114031,
79,1.7876,3600.23,normal,23.4232,136.0,72.618983,-63.381017,136.0,1,0,1,0,0,0.330819,0.008884,0.0,0.622,0.0,,0.0,-0.901691,1.0,0.0,1,0.119193,
80,1.92041,3600.37,normal,24.343,136.0,78.286111,-57.713889,136.0,1,0,1,0,0,0.330622,0.008883,0.0,0.642,0.0,,0.0,-0.828566,1.0,0.0,1,0.12468,
81,2.05859,3600.51,normal,25.2883,136.0,90.457981,-45.542019,136.0,1,0,1,0,0,0.330416,0.008881,0.0,0.662,0.0,,0.0,-0.67151,1.0,0.0,1,0.131315,
82,2.2019,3600.65,normal,26.2394,136.0,100.135318,-35.864682,136.0,1,0,1,0,0,0.330203,0.008879,0.0,0.682,0.0,,0.0,-0.546641,1.0,0.0,1,0.138801,
